STATE,VOTERS
Alabama,2323282
Alaska,359530
Arizona,3387326
Arkansas,1219069
California,17501380
Colorado,3256980
Connecticut,1823857
Delaware,504346
District of Columbia,344356
Florida,11067456
Georgia,4999960
Hawaii,574469
Idaho,867934
Illinois,6033744
Indiana,3033210
Iowa,1690871
Kansas,1373986
Kentucky,2136768
Louisiana,2148062
Maine,819461
Maryland,3037030
Massachusetts,3631402
Michigan,5539302
Minnesota,3277171
Mississippi,1313759
Missouri,3025962
Montana,603674
Nebraska,956383
Nevada,1405376
New Hampshire,806205
New Jersey,4549457
New Mexico,923965
New York,8616861
North Carolina,5524804
North Dakota,362024
Ohio,5922202
Oklahoma,1560699
Oregon,2374321
Pennsylvania,6936976
Rhode Island,517757
South Carolina,2513329
South Dakota,422609
Tennessee,3053851
Texas,11315056
Utah,1488289
Vermont,367428
Virginia,4460524
Washington,4087631
West Virginia,794731
Wisconsin,3298041
Wyoming,276765
Total,158429631
